split,file,ssim,psnr,lpips
train,10501.tif,0.633853,22.7253,0.240884
train,10502.tif,0.619783,22.2114,0.245964
train,10503.tif,0.676807,23.7304,0.24395
train,10504.tif,0.648046,21.9485,0.238624
train,10505.tif,0.575777,20.6448,0.224297
train,10506.tif,0.62948,23.8425,0.222319
train,10507.tif,0.584951,21.8706,0.263885
train,10508.tif,0.629769,22.4662,0.250144
train,10509.tif,0.463863,20.0306,0.257503
train,1051.tif,0.545346,22.0685,0.299284
train,10510.tif,0.558009,21.9751,0.309364
train,10511.tif,0.604727,22.8877,0.3066
train,10512.tif,0.686466,23.2152,0.237759
train,10513.tif,0.555036,20.3871,0.274603
train,10514.tif,0.685177,24.0785,0.268743
train,10515.tif,0.517685,21.601,0.238656
train,10516.tif,0.608055,24.6078,0.256465
train,10517.tif,0.608538,21.681,0.217688
train,10518.tif,0.664216,22.7235,0.236016
train,10519.tif,0.536123,21.2167,0.258524
train,1052.tif,0.488137,18.2985,0.30875
train,10520.tif,0.682371,23.1327,0.228008
train,10521.tif,0.475454,20.6124,0.25687
train,10522.tif,0.626945,20.9075,0.271569
train,10523.tif,0.535911,21.4123,0.266313
train,10524.tif,0.579309,21.8106,0.232045
train,10525.tif,0.839219,20.537,0.210761
train,10526.tif,0.645678,21.9607,0.244382
train,10527.tif,0.64179,22.1119,0.244576
train,10528.tif,0.690694,23.0646,0.313364
train,10529.tif,0.675628,24.4617,0.441186
train,1053.tif,0.521204,18.1325,0.262328
train,10530.tif,0.631566,19.3106,0.326925
train,10531.tif,0.535855,22.5848,0.241461
train,10532.tif,0.677767,23.0832,0.239066
train,10533.tif,0.633949,23.2078,0.290223
train,10534.tif,0.505956,20.2216,0.275535
train,10535.tif,0.578762,20.0776,0.262332
train,10536.tif,0.525011,21.1603,0.265521
train,10537.tif,0.583088,21.3198,0.324628
train,10538.tif,0.618693,19.5756,0.323634
train,10539.tif,0.513705,21.8884,0.25912
train,1054.tif,0.755348,22.0147,0.251752
train,10540.tif,0.61851,22.2727,0.317508
train,10541.tif,0.5804,22.4768,0.254354
train,10542.tif,0.608223,19.9618,0.265489
